ID,Lat,Lon,Country,hardcoral,hardcoral26,hardcoral85
1950,-22.897403,43.43354,Madagascar,17.83124535,14.61637456,27.22937404
1951,-22.918208,43.411082,Madagascar,19.47574047,16.24565013,29.62731133
1952,-22.918208,43.43354,Madagascar,17.67449634,14.69259026,27.20112777
1953,-22.939009,43.411082,Madagascar,19.09771984,15.91793141,29.12351479
1954,-22.939009,43.43354,Madagascar,17.67449634,14.69259026,27.20112777
1955,-22.939009,43.455998,Madagascar,17.67449634,14.69259026,27.20112777
1956,-22.959808,43.43354,Madagascar,17.47232329,14.99494465,27.13443729
1957,-22.959808,43.455998,Madagascar,17.32605359,15.00002211,27.06291193
1958,-22.980603,43.455998,Madagascar,17.242952120000002,15.08186276,26.9679622
1959,-22.980603,43.478456,Madagascar,17.14676072,15.23704104,26.91065055
1960,-23.001395,43.455998,Madagascar,18.190641,16.19064893,28.30399751
1961,-23.001395,43.478456,Madagascar,18.12574304,16.35601301,28.2671589
1962,-23.001395,43.500914,Madagascar,18.6591592,16.85570358,28.89294357
1963,-23.001395,43.523372,Madagascar,20.71612286,19.32411651,31.63006854
1964,-23.022184,43.455998,Madagascar,21.04751286,19.06348041,32.08467095
1965,-23.022184,43.478456,Madagascar,20.98281045,19.07034864,32.03227312
1966,-23.022184,43.500914,Madagascar,20.83428304,19.2413962,31.85288932
1967,-23.022184,43.523372,Madagascar,20.71612286,19.32411651,31.63006854
1968,-23.022184,43.54583,Madagascar,20.71612286,19.32411651,31.63006854
1969,-23.04297,43.455998,Madagascar,20.99439334,19.35098393,32.01518826
1970,-23.04297,43.478456,Madagascar,20.92908706,19.45102632,31.9823042
1971,-23.04297,43.500914,Madagascar,20.78803291,19.62504548,31.76210327
1972,-23.04297,43.523372,Madagascar,20.67103443,19.52420731,31.5359065
1973,-23.04297,43.54583,Madagascar,20.6398798,19.53640142,31.4593503
1974,-23.04297,43.568287,Madagascar,20.61408515,19.74744144,31.39766135
1975,-23.063752,43.478456,Madagascar,20.82081583,19.74736741,31.85153933
1976,-23.063752,43.500914,Madagascar,20.73356675,19.64358694,31.668455990000002
1977,-23.063752,43.523372,Madagascar,20.57509564,19.54117438,31.43125277
1978,-23.063752,43.54583,Madagascar,20.60483357,19.7366929,31.41953286
1979,-23.063752,43.568287,Madagascar,20.61408515,19.74744144,31.39766135
1980,-23.063752,43.590745,Madagascar,20.64628808,19.75095285,31.39400419
1981,-23.084531,43.478456,Madagascar,21.69652371,20.5896672,32.997843
1982,-23.084531,43.500914,Madagascar,20.48707256,19.40687852,31.34336544
1983,-23.084531,43.523372,Madagascar,19.55697287,18.56225646,30.07937674
1984,-23.084531,43.54583,Madagascar,19.58560213,18.75026299,30.06793987
1985,-23.084531,43.568287,Madagascar,19.59450903,18.76059989,30.04659701
1986,-23.084531,43.590745,Madagascar,19.62551294,18.76397686,30.0430283
1987,-23.084531,43.613203,Madagascar,19.65392595,18.85708897,30.02968159
1988,-23.105307,43.500914,Madagascar,20.20824549,19.38668759,30.946598
1989,-23.105307,43.523372,Madagascar,18.80709317,18.079479,29.10849073
1990,-23.105307,43.54583,Madagascar,18.79778418,18.17484616,29.09012027
1991,-23.105307,43.568287,Madagascar,18.81515053,18.18339603,29.07227314
1992,-23.105307,43.590745,Madagascar,18.87367121,18.18532865,29.07038992
1993,-23.105307,43.613203,Madagascar,18.92733151,18.18726145,29.06851253
1994,-23.126079,43.523372,Madagascar,18.73233819,18.18475297,29.07095025
1995,-23.126079,43.54583,Madagascar,18.74779692,18.19136127,29.05546365
1996,-23.126079,43.568287,Madagascar,18.74340946,18.19797145,29.04919348
1997,-23.126079,43.590745,Madagascar,18.81564451,18.19840887,29.04878076
1998,-23.126079,43.613203,Madagascar,18.85253266,18.19884632,29.04836829
1999,-23.146849,43.54583,Madagascar,18.6961191,18.29707545,29.01244286
2000,-23.146849,43.568287,Madagascar,18.68518538,18.47925919,28.99891394
2001,-23.146849,43.590745,Madagascar,25.19222417,24.90118355,37.3967588
2002,-23.146849,43.613203,Madagascar,18.77594267,18.48145419,28.99716858
2003,-23.167615,43.568287,Madagascar,20.12054723,20.1247898,30.89328408
2004,-23.167615,43.590745,Madagascar,20.1581162,20.22125967,30.89190067
2005,-23.167615,43.613203,Madagascar,20.19397335,20.22326993,30.8905177
2006,-23.188378,43.590745,Madagascar,21.22382735,21.28941893,32.29554338
2007,-23.188378,43.613203,Madagascar,21.26107538,21.29150705,32.29412694
2008,-23.209137,43.590745,Madagascar,21.18382747,21.51420059,32.26023889
2009,-23.209137,43.613203,Madagascar,21.19263104,21.51614555,32.25899331
2010,-23.229893,43.613203,Madagascar,21.14549635,21.94603282,32.20530364
2011,-23.250646,43.613203,Madagascar,21.10183782,22.40266946,32.11588848
2012,-23.271396,43.613203,Madagascar,17.97222354,19.8668607,27.91874528
2013,-23.292143,43.613203,Madagascar,17.90889999,20.52779721,27.75856624
2014,-23.312886,43.613203,Madagascar,17.86635362,21.61435656,27.568204
2015,-23.333626,43.613203,Madagascar,17.86635362,21.61435656,27.568204
2016,-23.333626,43.635661,Madagascar,17.86635362,21.61435656,27.568204
2017,-23.354363,43.613203,Madagascar,17.80726728,23.82388479,27.23607693
2018,-23.354363,43.635661,Madagascar,17.80726728,23.82388479,27.23607693
2019,-23.354363,43.658119,Madagascar,17.73852241,25.29666124,26.76403941
2020,-23.354363,43.680577,Madagascar,17.67684376,27.36740101,26.01997445
2021,-23.375096,43.613203,Madagascar,17.7096318,25.86572924,26.67301565
2022,-23.375096,43.635661,Madagascar,17.7096318,25.86572924,26.67301565
2023,-23.375096,43.658119,Madagascar,17.6716454,26.56590522,26.32450689
2024,-23.375096,43.680577,Madagascar,17.67684376,27.36740101,26.01997445
2025,-23.395826,43.635661,Madagascar,17.59611615,27.47256887,26.13308841
2026,-23.395826,43.658119,Madagascar,17.61628392,27.9233286,25.90040186
2027,-23.395826,43.680577,Madagascar,17.60960133,28.6561274,25.66412953
2028,-23.395826,43.703035,Madagascar,17.70885734,28.7094259,25.58014959
2029,-23.395826,43.725493,Madagascar,17.74789059,28.85779107,25.45995099
2030,-23.416553,43.635661,Madagascar,17.2431265,28.51917118,25.4394854
2031,-23.416553,43.658119,Madagascar,17.20229203,28.44436115,25.08461974
2032,-23.416553,43.680577,Madagascar,17.12117656,28.47609767,24.81684994
2033,-23.416553,43.703035,Madagascar,17.17573034,28.94607208,24.68121935
2034,-23.416553,43.725493,Madagascar,17.22843585,29.06003022,24.57959836
2035,-23.416553,43.747951,Madagascar,17.22843585,29.06003022,24.57959836
2036,-23.437277,43.658119,Madagascar,16.92563771,28.04815405,24.71904451
2037,-23.437277,43.680577,Madagascar,16.76473089,27.96301381,24.34725469
2038,-23.437277,43.703035,Madagascar,16.81837939,28.4278859,24.21336401
2039,-23.437277,43.725493,Madagascar,16.87021169,28.54062342,24.11305263
2040,-23.437277,43.747951,Madagascar,16.87021169,28.54062342,24.11305263
2041,-23.437277,43.770408,Madagascar,16.87021169,28.54062342,24.11305263
2042,-23.457997,43.658119,Madagascar,16.83347293,29.17473205,24.25553528
2043,-23.457997,43.680577,Madagascar,16.68387929,29.18210763,23.71463705
2044,-23.457997,43.725493,Madagascar,16.82645413,29.29495423,23.55633126
2045,-23.457997,43.747951,Madagascar,16.82645413,29.29495423,23.55633126
2046,-23.457997,43.770408,Madagascar,16.82645413,30.29805655,22.85814797
2047,-23.478714,43.658119,Madagascar,16.64250149,30.13386658,23.63829702
2048,-23.478714,43.680577,Madagascar,16.53908047,30.11711975,22.93551614
2049,-23.478714,43.725493,Madagascar,16.78727253,30.29805655,22.85814797
2050,-23.478714,43.747951,Madagascar,16.78727253,30.29805655,22.85814797
2051,-23.478714,43.770408,Madagascar,16.78727253,30.29805655,22.85814797
2052,-23.499427,43.680577,Madagascar,17.66085381,32.23964719,23.81290142
2053,-23.499427,43.703035,Madagascar,17.78736608,32.26802703,23.7220137
2054,-23.499427,43.725493,Madagascar,17.87648042,32.27349029,23.63122753
2055,-23.499427,43.747951,Madagascar,17.87648042,32.27349029,23.63122753
2056,-23.499427,43.770408,Madagascar,17.87648042,32.00966408,24.29596069
2057,-23.520138,43.703035,Madagascar,20.60666436,36.56273498,26.17654236
2058,-23.520138,43.725493,Madagascar,20.74671721,36.56335777,26.11908993
2059,-23.520138,43.747951,Madagascar,20.74671721,36.56335777,26.11908993
2060,-23.582249,43.680577,Madagascar,20.26019446,36.48053942,25.38801216
2061,-23.582249,43.703035,Madagascar,20.53941953,36.48041361,25.38731064
2062,-23.582249,43.725493,Madagascar,20.62833337,36.48028771,25.38660912
2063,-23.602947,43.658119,Madagascar,19.80970323,35.97043636,24.75936616
2064,-23.602947,43.680577,Madagascar,20.3116466,36.39226924,25.11032363
2065,-23.602947,43.703035,Madagascar,20.51204775,36.41855197,25.21463764
2066,-23.602947,43.725493,Madagascar,20.62833337,36.48028771,25.38660912
2067,-23.62364,43.590745,Madagascar,19.96882436,36.55970795,25.24903596
2068,-23.62364,43.613203,Madagascar,19.5053518,35.729351,24.5329748
2069,-23.62364,43.635661,Madagascar,19.5053518,35.729351,24.5329748
2070,-23.62364,43.658119,Madagascar,19.7955879,35.73236674,24.54149478
2071,-23.644331,43.590745,Madagascar,19.90474977,36.23380936,24.95451247
2072,-23.644331,43.613203,Madagascar,19.52563101,35.47254952,24.14145991
2073,-23.644331,43.635661,Madagascar,19.52563101,35.47254952,24.14145991
2074,-23.644331,43.658119,Madagascar,19.56322507,35.52466324,24.33753837
2075,-23.665018,43.590745,Madagascar,17.79066418,32.87198175,21.9919301
2076,-23.665018,43.613203,Madagascar,16.45589388,30.75142603,20.21414235
2077,-23.665018,43.635661,Madagascar,16.45589388,30.75142603,20.21414235
2078,-23.685702,43.613203,Madagascar,15.38893503,29.08021341,18.95880579
2079,-23.685702,43.635661,Madagascar,15.38893503,29.08021341,18.95880579
2080,-23.706383,43.613203,Madagascar,15.20340352,28.75023525,18.15532561
2081,-23.706383,43.635661,Madagascar,15.20340352,28.75023525,18.15532561
2082,-23.72706,43.613203,Madagascar,15.11940666,28.40314804,17.59792349
2083,-23.72706,43.635661,Madagascar,15.11940666,28.40314804,17.59792349
2084,-23.747734,43.613203,Madagascar,16.0976583,30.16585125,18.48745375
2085,-23.747734,43.635661,Madagascar,16.0976583,30.16585125,18.48745375
2086,-23.768405,43.635661,Madagascar,15.41421651,29.46906398,17.5471475
2087,-23.789073,43.635661,Madagascar,15.41421651,29.46906398,17.5471475
2088,-23.789073,43.658119,Madagascar,15.41421651,29.46906398,17.5471475
2089,-23.809737,43.635661,Madagascar,15.39056765,29.24947003,17.0763419
2090,-23.809737,43.658119,Madagascar,15.39056765,29.24947003,17.0763419
2091,-23.830397,43.635661,Madagascar,14.3591709,27.87217473,15.41944157
2092,-23.830397,43.658119,Madagascar,14.3591709,27.87217473,15.41944157
2093,-23.851055,43.635661,Madagascar,13.06189187,25.95731916,13.92227556
2094,-23.851055,43.658119,Madagascar,13.09755744,25.91250023,13.71626982
2095,-23.871709,43.635661,Madagascar,13.03910827,25.84002083,13.57809366
2096,-23.871709,43.658119,Madagascar,12.94633671,25.79950718,13.35264125
2097,-23.871709,43.680577,Madagascar,12.91856233,25.75539468,13.17461035
2098,-23.89236,43.635661,Madagascar,12.89336607,25.75485359,13.1726689
2099,-23.89236,43.658119,Madagascar,12.85096563,25.72337107,13.0998598
2100,-23.89236,43.680577,Madagascar,12.82909494,25.67723008,13.02731236
2101,-23.913007,43.635661,Madagascar,13.72547919,27.41733405,13.99142751
2102,-23.913007,43.658119,Madagascar,13.82679941,27.39807114,13.90679985
2103,-23.913007,43.680577,Madagascar,13.92650781,27.37830539,13.89264454
2104,-23.933651,43.658119,Madagascar,13.76644668,27.29724577,13.84615403
2105,-23.954292,43.658119,Madagascar,13.71771511,27.21103423,13.63970017
2106,-23.974929,43.658119,Madagascar,13.53759515,26.9086866,13.29990877
2107,-23.995563,43.658119,Madagascar,13.2364801,26.12674147,12.44629184
2108,-24.016194,43.658119,Madagascar,12.9296354,25.51694388,11.86298257
2109,-24.016194,43.680577,Madagascar,12.86776455,25.36234449,11.65549086
2110,-24.036822,43.658119,Madagascar,12.9296354,25.51694388,11.86298257
2111,-24.036822,43.680577,Madagascar,12.86776455,25.36234449,11.65549086
2112,-24.057446,43.658119,Madagascar,12.62352232,25.04299953,11.29896437
2113,-24.057446,43.680577,Madagascar,12.65548539,24.84204936,11.22091833
2114,-24.078066,43.658119,Madagascar,12.38346296,24.30961667,10.77790442
2115,-24.078066,43.680577,Madagascar,12.48626549,24.17271727,10.67044098
2116,-24.098684,43.658119,Madagascar,12.12874192,23.47523139,10.2193697
2117,-24.098684,43.680577,Madagascar,12.18833142,23.32293579,10.06997933
2118,-24.119298,43.658119,Madagascar,11.83675553,26.90774165,17.10885971
2119,-24.119298,43.680577,Madagascar,11.8341424,26.67968406,17.00267862
2120,-24.139908,43.658119,Madagascar,11.74123219,26.47607738,16.54792246
2121,-24.139908,43.680577,Madagascar,11.84543175,26.29733957,16.38767192
2122,-24.160516,43.658119,Madagascar,11.73765935,26.53234474,16.20257698
2123,-24.181119,43.658119,Madagascar,11.82979711,26.70547837,16.32328136
2124,-24.20172,43.658119,Madagascar,11.60775256,26.43745331,15.71114344
2125,-24.222317,43.658119,Madagascar,11.48384647,26.2850626,15.16111055
2126,-24.242911,43.658119,Madagascar,11.40199415,26.01219573,14.3240021
2127,-24.263501,43.658119,Madagascar,11.12077413,25.65434453,13.65629822
2128,-24.284088,43.658119,Madagascar,11.12077413,25.65434453,13.65629822
2129,-24.304672,43.658119,Madagascar,10.96727304,24.96041986,12.7099541
2130,-24.325253,43.658119,Madagascar,10.81223615,24.01701337,12.09862421
2131,-24.345829,43.658119,Madagascar,10.76366154,23.15404535,11.12409821
2132,-24.345829,43.680577,Madagascar,10.69606985,22.82783574,10.92034577
2133,-24.366403,43.680577,Madagascar,10.39570276,21.81903969,9.99641638
2134,-24.386973,43.680577,Madagascar,10.39570276,21.81903969,9.99641638
